ticker,year,scope1_t,n_facilities,match_confidence,revenue_musd,co2_intensity,company,gics_sector,gics_sub_industry
IFF,2018,38374.052,1,1.0,3977.539,9.64768717541173,International Flavors & Fragrances,Materials,Specialty Chemicals
IFF,2019,36254.367999999995,1,1.0,5140.0,7.053378988326847,International Flavors & Fragrances,Materials,Specialty Chemicals
IFF,2020,57249.186,2,1.0,5084.0,11.260658143194336,International Flavors & Fragrances,Materials,Specialty Chemicals
IFF,2021,247478.86599999998,5,1.0,11656.0,21.231886238846943,International Flavors & Fragrances,Materials,Specialty Chemicals
IFF,2022,378029.132,7,1.0,12440.0,30.38819389067524,International Flavors & Fragrances,Materials,Specialty Chemicals
IFF,2023,307088.216,7,1.0,11479.0,26.75217492812963,International Flavors & Fragrances,Materials,Specialty Chemicals
INTC,2018,1544149.530148277,9,0.9833333333333333,70848.0,21.79524517485712,Intel,Information Technology,Semiconductors
INTC,2019,1398143.3417721,8,0.98125,71965.0,19.42810174073647,Intel,Information Technology,Semiconductors
INTC,2020,1646892.4564951,8,0.98125,77867.0,21.15006943243094,Intel,Information Technology,Semiconductors
INTC,2021,1825900.7721035,8,0.98125,79024.0,23.105648563771766,Intel,Information Technology,Semiconductors
INTC,2022,1443681.3987202,7,0.9857142857142858,63054.0,22.895952655187617,Intel,Information Technology,Semiconductors
INTC,2023,1128104.6146605,7,0.9857142857142858,54228.0,20.802991345070815,Intel,Information Technology,Semiconductors
IP,2018,5821275.622,34,1.0,23306.0,249.7758354930061,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IP,2019,5875082.74,34,1.0,18317.0,320.7448130152318,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IP,2020,6008331.066,34,1.0,17565.0,342.0626852263023,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IP,2021,5725804.004,32,1.0,19363.0,295.70851644889734,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IP,2022,5396214.598,32,1.0,21161.0,255.00754208213223,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IP,2023,5404387.698,32,1.0,16033.0,337.07900567579367,International Paper,Materials,Paper & Plastic Packaging Products & Materials
IR,2018,0.0,3,1.0,2689.8,0.0,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
IR,2019,0.0,3,1.0,2017.5,0.0,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
IR,2020,0.0,2,1.0,3973.2,0.0,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
IR,2021,0.0,2,1.0,5152.4,0.0,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
IR,2022,0.0,2,1.0,5916.3,0.0,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
IR,2023,0.0,1,1.0,6876.1,0.0,Ingersoll Rand,Industrials,Industrial Machinery & Supplies & Components
ITW,2018,9585.71124,1,1.0,14768.0,0.649086622426869,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
ITW,2019,9104.0432,1,1.0,14109.0,0.6452649514494294,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
ITW,2020,13372.613519999999,1,1.0,12574.0,1.06351308414188,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
ITW,2021,12134.68144,1,1.0,14455.0,0.8394798644067797,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
ITW,2022,24989.95492,1,1.0,15932.0,1.5685384710017576,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
ITW,2023,17549.74984,1,1.0,16107.0,1.0895728465884398,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components
