ticker,p10,p50,p90,band_width,share_top_quintile,share_bottom_quintile,company,gics_sector,gics_sub_industry,match_confidence
BRK-B,42.857142857142854,42.857142857142854,71.42857142857143,28.571428571428577,5.866666666666666,0.0,Berkshire Hathaway,Financials,Multi-Sector Holdings,0.9963027717665375
COP,31.25,42.857142857142854,62.5,31.25,1.866666666666667,1.0,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1.0
HRL,25.0,41.66666666666667,69.23076923076923,44.230769230769226,1.6666666666666667,0.7333333333333333,Hormel Foods,Consumer Staples,Packaged Foods & Meats,1.0
ABT,20.0,40.0,60.0,40.0,2.7333333333333334,15.666666666666668,Abbott Laboratories,Health Care,Health Care Equipment,1.0
MMM,23.52941176470588,40.0,55.55555555555556,32.02614379084967,0.7333333333333333,2.8666666666666667,3M,Industrials,Industrial Conglomerates,1.0
IP,27.77777777777778,38.88888888888889,44.44444444444444,16.666666666666664,0.0,3.6666666666666665,International Paper,Materials,Paper & Plastic Packaging Products & Materials,1.0
BA,22.22222222222222,37.5,72.22222222222221,49.99999999999999,4.066666666666666,9.266666666666666,Boeing,Industrials,Aerospace & Defense,1.0
EIX,22.22222222222222,37.03703703703704,71.42857142857143,49.20634920634921,0.0,5.6000000000000005,Edison International,Utilities,Electric Utilities,0.9972222222222222
SO,25.925925925925924,37.03703703703704,50.0,24.074074074074076,0.0,4.133333333333333,Southern Company,Utilities,Electric Utilities,1.0
MCHP,18.181818181818183,36.36363636363637,63.63636363636363,45.45454545454545,1.7333333333333332,11.600000000000001,Microchip Technology,Information Technology,Semiconductors,1.0
AES,33.33333333333333,33.33333333333333,66.66666666666666,33.33333333333333,0.0,0.0,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1.0
DOW,16.666666666666664,33.33333333333333,38.88888888888889,22.22222222222223,0.0,13.866666666666665,Dow Inc.,Materials,Commodity Chemicals,0.9916666666666666
TXN,11.11111111111111,33.33333333333333,55.55555555555556,44.44444444444444,0.5333333333333333,22.666666666666664,Texas Instruments,Information Technology,Semiconductors,1.0
FANG,25.0,31.25,62.5,37.5,6.266666666666667,4.8,Diamondback Energy,Energy,Oil & Gas Exploration & Production,0.975
KMB,23.076923076923077,30.76923076923077,50.0,26.923076923076923,0.33333333333333337,5.0,Kimberly-Clark,Consumer Staples,Household Products,1.0
WM,16.666666666666664,30.0,50.55555555555631,33.888888888889646,0.0,32.0,Waste Management,Industrials,Environmental & Facilities Services,1.0
BIIB,20.0,30.0,60.0,40.0,4.0,22.733333333333334,Biogen,Health Care,Biotechnology,0.9833333333333334
D,20.0,29.629629629629626,40.0,20.0,0.0,13.200000000000001,Dominion Energy,Utilities,Multi-Utilities,1.0
LNT,14.814814814814813,28.57142857142857,42.857142857142854,28.04232804232804,0.0,14.466666666666667,Alliant Energy,Utilities,Electric Utilities,1.0
L,28.57142857142857,28.57142857142857,33.33333333333333,4.761904761904759,0.13333333333333333,7.933333333333334,Loews Corporation,Financials,Multi-line Insurance,1.0
ES,14.285714285714285,28.57142857142857,64.28571428571429,50.00000000000001,0.0,36.13333333333333,Eversource Energy,Utilities,Electric Utilities,1.0
MLM,11.11111111111111,27.77777777777778,27.77777777777778,16.666666666666668,0.0,29.2,Martin Marietta Materials,Materials,Construction Materials,1.0
TSLA,25.0,25.0,75.0,50.0,3.2,0.0,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,0.9833333333333334
WMB,18.75,25.0,55.55555555555556,36.80555555555556,0.7333333333333333,22.666666666666664,Williams Companies,Energy,Oil & Gas Storage & Transportation,0.9003922111480253
TRGP,18.75,22.22222222222222,33.33333333333333,14.583333333333329,0.0,23.799999999999997,Targa Resources,Energy,Oil & Gas Storage & Transportation,1.0
TXT,12.5,22.22222222222222,37.5,25.0,0.13333333333333333,41.733333333333334,Textron,Industrials,Aerospace & Defense,1.0
APD,11.11111111111111,22.22222222222222,27.77777777777778,16.666666666666668,0.0,34.599999999999994,Air Products,Materials,Industrial Gases,0.9499999999999998
CMS,10.0,20.833333333333336,30.0,20.0,0.0,49.2,CMS Energy,Utilities,Multi-Utilities,1.0
ETR,11.11111111111111,20.833333333333336,30.76923076923077,19.65811965811966,0.0,48.86666666666667,Entergy,Utilities,Electric Utilities,0.9963014773216979
CF,11.11111111111111,16.666666666666664,55.55555555555556,44.44444444444444,0.6,53.6,CF Industries,Materials,Fertilizers & Agricultural Chemicals,1.0
BF-B,7.6923076923076925,15.384615384615385,23.076923076923077,15.384615384615383,0.0,89.73333333333333,Brown–Forman,Consumer Staples,Distillers & Vintners,1.0
VST,7.4074074074074066,14.285714285714285,57.14285714285714,49.735449735449734,0.0,58.666666666666664,Vistra Corp.,Utilities,Electric Utilities,0.9825874866233394
OXY,6.25,14.285714285714285,14.285714285714285,8.035714285714285,0.0,100.0,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,0.9895271234701596
ARES,14.285714285714285,14.285714285714285,16.666666666666664,2.3809523809523796,0.0,92.06666666666666,Ares Management,Financials,Asset Management & Custody Banks,1.0
SRE,3.7037037037037033,12.5,44.44444444444444,40.74074074074074,0.0,71.93333333333334,Sempra,Utilities,Multi-Utilities,0.8586996336996338
ADI,9.090909090909092,11.11111111111111,27.27272727272727,18.18181818181818,0.13333333333333333,77.8,Analog Devices,Information Technology,Semiconductors,1.0
RSG,5.555555555555555,11.11111111111111,22.22222222222222,16.666666666666664,0.0,88.46666666666667,Republic Services,Industrials,Environmental & Facilities Services,1.0
KMI,6.25,11.11111111111111,12.5,6.25,0.0,96.86666666666667,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,0.9997361022136806
PPG,5.555555555555555,11.11111111111111,27.77777777777778,22.22222222222222,0.0,80.80000000000001,PPG Industries,Materials,Specialty Chemicals,1.0
AMGN,10.0,10.0,20.0,10.0,0.0,92.2,Amgen,Health Care,Biotechnology,1.0
ITW,5.555555555555555,10.0,20.0,14.444444444444445,0.0,90.26666666666667,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,1.0
ADM,7.6923076923076925,7.6923076923076925,16.666666666666664,8.974358974358971,0.0,91.86666666666666,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,1.0
EVRG,3.7037037037037033,7.142857142857142,11.11111111111111,7.407407407407407,0.0,99.2,Evergy,Utilities,Electric Utilities,0.9899999999999999
IFF,5.555555555555555,5.555555555555555,22.22222222222222,16.666666666666664,0.0,83.66666666666667,International Flavors & Fragrances,Materials,Specialty Chemicals,1.0
