ticker,company,gics_sector,gics_sub_industry,years_observed,year_last,scope1_t,revenue_musd,co2_intensity,n_facilities,match_confidence,intensity_cagr,absolute_cagr,base_year_ratio,intensity_illusion,illusion_gap
ITW,Illinois Tool Works,Industrials,Industrial Machinery & Supplies & Components,6,2023,17549.74984,16107.0,1.0895728465884398,1,1.0,0.15415970768113896,0.18550654934128952,0.7516054724761767,False,0.03134684166015056
JCI,Johnson Controls,Industrials,Building Products,6,2023,0.0,22331.0,0.0,1,1.0,,,,False,
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,6,2023,0.0,26640.0,0.0,4,1.0,-0.11253053534427215,-0.11063742998046378,1.4580825294123956,False,0.0018931053638083783
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,5,2022,122999.10269999999,5704.18,21.56297709749692,3,1.0,0.02712681224629332,0.6053177271404264,0.1998950329579171,False,0.5781909148941331
KMB,Kimberly-Clark,Consumer Staples,Household Products,6,2023,1030421.2660000001,17146.0,60.09688942027295,10,1.0,0.010939080888388908,-0.006661662400815782,1.0081373065161974,False,-0.01760074328920469
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,6,2023,11825388.6862346,13647.0,866.5192852813512,285,0.9994006363487721,-0.03446309170350914,0.016772873416326606,0.8858299564123828,True,0.05123596511983575
L,Loews Corporation,Financials,Multi-line Insurance,6,2023,2049069.366,2360.0,868.2497313559322,49,1.0,0.03739160738611269,-0.09263676086359263,1.2036944623131727,False,-0.13002836824970532
LII,Lennox International,Industrials,Building Products,6,2023,0.0,4981.9,0.0,1,1.0,,,,False,
LIN,Linde plc,Materials,Industrial Gases,6,2023,10074068.22,32854.0,306.63140622146466,23,0.9639364976602608,-0.11398905681640836,0.010429874224534785,1.1336037058008557,True,0.12441893104094315
LLY,Lilly (Eli),Health Care,Pharmaceuticals,6,2023,47574.076,34124.0,1.3941529715156489,1,0.9416666666666668,-0.11769968116254526,-0.03344502908375713,2.5346773432660332,False,0.08425465207878813
LMT,Lockheed Martin,Industrials,Aerospace & Defense,6,2023,95794.13399999999,67571.0,1.417681164996818,4,1.0,-0.08199583999899906,-0.04282269384136117,1.0719079382376402,False,0.039173146157637895
LNT,Alliant Energy,Utilities,Electric Utilities,6,2023,13023321.5224172,4027.0,3234.0008747000747,24,1.0,-0.06272654526541865,-0.0313997692900172,1.2429999887353826,False,0.031326775975401455
