"ticker","name","sector","rank","score","lower_bound","upper_bound","pillars_available","pillars_required","contribution","planning","nature","social","source"
"COHR","Coherent Corp.","Information Technology","","","0.00","100.00","0","4","","","","",""
"COIN","Coinbase","Financials","","","0.00","100.00","0","4","","","","",""
"CMCSA","Comcast","Communication Services","","","14.32","34.32","3","4","0","60","","11.6","https://www.worldbenchmarkingalliance.org/company/comcast"
"FIX","Comfort Systems USA","Industrials","","","0.00","100.00","0","4","","","","",""
"COP","ConocoPhillips","Energy","","","14.86","34.86","3","4","0","40","","34.3","https://www.worldbenchmarkingalliance.org/company/conocophillips"
"ED","Consolidated Edison","Utilities","","","9.46","29.46","3","4","0","20","","27.3","https://www.worldbenchmarkingalliance.org/company/consolidated-edison"
"CEG","Constellation Energy","Utilities","","","11.06","31.06","3","4","0","40","","15.3","https://www.worldbenchmarkingalliance.org/company/constellation-energy"
"COO","Cooper Companies (The)","Health Care","","","0.00","100.00","0","4","","","","",""
"CPRT","Copart","Industrials","","","0.00","100.00","0","4","","","","",""
"GLW","Corning Inc.","Information Technology","","","20.62","40.62","3","4","0","60","","43.1","https://www.worldbenchmarkingalliance.org/company/corning"
"CPAY","Corpay","Financials","","","0.00","100.00","0","4","","","","",""
"CTVA","Corteva","Materials","","","0.00","100.00","0","4","","","","",""
"CSGP","CoStar Group","Real Estate","","","0.00","100.00","0","4","","","","",""
"CRH","CRH plc","Materials","","","20.98","40.98","3","4","0","60","","44.9","https://www.worldbenchmarkingalliance.org/company/crh"
"CRWD","CrowdStrike","Information Technology","","","0.00","100.00","0","4","","","","",""
"CCI","Crown Castle","Real Estate","","","0.00","100.00","0","4","","","","",""
"CSX","CSX Corporation","Industrials","","","0.00","100.00","0","4","","","","",""
"CMI","Cummins","Industrials","","","0.00","100.00","0","4","","","","",""
"CVS","CVS Health","Health Care","","","15.62","35.62","3","4","0","60","","18.1","https://www.worldbenchmarkingalliance.org/company/cvs-health"
"DHI","D. R. Horton","Consumer Discretionary","","","6.22","26.22","3","4","0","20","","11.1","https://www.worldbenchmarkingalliance.org/company/dr-horton"
"DHR","Danaher Corporation","Health Care","","","0.00","100.00","0","4","","","","",""
"DDOG","Datadog","Information Technology","","","0.00","100.00","0","4","","","","",""
"DVA","DaVita","Health Care","","","0.00","100.00","0","4","","","","",""
"DECK","Deckers Brands","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"DE","Deere & Company","Industrials","","","0.00","100.00","0","4","","","","",""
"DELL","Dell Technologies","Information Technology","","","0.00","100.00","0","4","","","","",""
"DAL","Delta Air Lines","Industrials","","","14.88","34.88","3","4","0","60","","14.4","https://www.worldbenchmarkingalliance.org/company/delta-air-lines"
"DVN","Devon Energy","Energy","","","11.70","31.70","3","4","0","40","","18.5","https://www.worldbenchmarkingalliance.org/company/devon-energy"
"DXCM","Dexcom","Health Care","","","0.00","100.00","0","4","","","","",""
"FANG","Diamondback Energy","Energy","","","0.00","100.00","0","4","","","","",""
"DLR","Digital Realty","Real Estate","","","13.12","33.12","3","4","0","60","","5.6","https://www.worldbenchmarkingalliance.org/company/digital-realty-trust"
"DG","Dollar General","Consumer Staples","","","7.62","27.62","3","4","0","20","","18.1","https://www.worldbenchmarkingalliance.org/company/dollar-general"
"DLTR","Dollar Tree","Consumer Staples","","","11.52","31.52","3","4","0","40","","17.6","https://www.worldbenchmarkingalliance.org/company/dollar-tree"
"D","Dominion Energy","Utilities","","","12.16","32.16","3","4","0","40","","20.8","https://www.worldbenchmarkingalliance.org/company/dominion-energy"
"DASH","DoorDash","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"DOV","Dover Corporation","Industrials","","","0.00","100.00","0","4","","","","",""
"DTE","DTE Energy","Utilities","","","0.00","100.00","0","4","","","","",""
"DUK","Duke Energy","Utilities","","","18.48","38.48","3","4","0","60","","32.4","https://www.worldbenchmarkingalliance.org/company/duke-energy"
"ETN","Eaton Corporation","Industrials","","","14.40","34.40","3","4","0","60","","12","https://www.worldbenchmarkingalliance.org/company/eaton"
"EBAY","eBay Inc.","Consumer Discretionary","","","13.86","33.86","3","4","0","60","","9.3","https://www.worldbenchmarkingalliance.org/company/ebay"
"ECHO","EchoStar","Communication Services","","","0.00","100.00","0","4","","","","",""
"ECL","Ecolab","Materials","","","0.00","100.00","0","4","","","","",""
"EIX","Edison International","Utilities","","","0.00","100.00","0","4","","","","",""
"EW","Edwards Lifesciences","Health Care","","","0.00","100.00","0","4","","","","",""
"ELV","Elevance Health","Health Care","","","0.00","100.00","0","4","","","","",""
"EME","Emcor","Industrials","","","0.00","100.00","0","4","","","","",""
"EMR","Emerson Electric","Industrials","","","0.00","100.00","0","4","","","","",""
"ETR","Entergy","Utilities","","","0.00","100.00","0","4","","","","",""
"EOG","EOG Resources","Energy","","","13.00","33.00","3","4","0","40","","25","https://www.worldbenchmarkingalliance.org/company/eog-resources"
"EQT","EQT Corporation","Energy","","","18.58","38.58","3","4","0","60","","32.9","https://www.worldbenchmarkingalliance.org/company/eqt"
"EFX","Equifax","Industrials","","","0.00","100.00","0","4","","","","",""
"EQIX","Equinix","Real Estate","","","18.76","38.76","3","4","0","60","","33.8","https://www.worldbenchmarkingalliance.org/company/equinix"
"ERIE","Erie Indemnity","Financials","","","0.00","100.00","0","4","","","","",""
"ESS","Essex Property Trust","Real Estate","","","0.00","100.00","0","4","","","","",""
"EG","Everest Group","Financials","","","0.00","100.00","0","4","","","","",""
"EVRG","Evergy","Utilities","","","0.00","100.00","0","4","","","","",""
"ES","Eversource Energy","Utilities","","","0.00","100.00","0","4","","","","",""
"EXC","Exelon","Utilities","","","0.00","100.00","0","4","","","","",""
"EXE","Expand Energy","Energy","","","13.18","33.18","3","4","0","40","","25.9","https://www.worldbenchmarkingalliance.org/company/expand-energy"
"EXPE","Expedia Group","Consumer Discretionary","","","0.00","100.00","0","4","","","","",""
"EXPD","Expeditors International","Industrials","","","0.00","100.00","0","4","","","","",""
"EXR","Extra Space Storage","Real Estate","","","0.00","100.00","0","4","","","","",""
"XOM","ExxonMobil","Energy","","","10.78","30.78","3","4","0","40","","13.9","https://www.worldbenchmarkingalliance.org/company/exxonmobil"
"FFIV","F5, Inc.","Information Technology","","","0.00","100.00","0","4","","","","",""
"FDS","FactSet","Financials","","","0.00","100.00","0","4","","","","",""
"FICO","Fair Isaac","Information Technology","","","0.00","100.00","0","4","","","","",""
"FAST","Fastenal","Industrials","","","0.00","100.00","0","4","","","","",""
"FRT","Federal Realty Investment Trust","Real Estate","","","0.00","100.00","0","4","","","","",""
